,arc_challenge,arc_challenge,arc_easy,arc_easy,hellaswag,hellaswag,kmmlu_neg,kmmlu_neg,kmmlu_pos,kmmlu_pos,ko_nubench_cloze,ko_nubench_cloze,ko_nubench_symbol,ko_nubench_symbol,kobest_boolq,kobest_boolq,kobest_boolq_neg,kobest_boolq_neg,thunderllm-snu-ko-arc-challenge,thunderllm-snu-ko-arc-challenge,thunderllm-snu-ko-arc-easy,thunderllm-snu-ko-arc-easy,winogrande,winogrande
kakaocorp__kanana-1.5-8b-base,0.510239,0.540956,0.805976,0.812710,0.584943,0.774447,0.662566,0.662566,0.665082,0.665082,0.435358,0.457944,0.436137,0.436137,0.637464,,0.512108,0.519231,0.000000,0.000000,0.000000,0.000000,0.730071,
meta-llama__Llama-3.1-70B,0.596416,0.613481,0.851010,0.815236,0.674965,0.857598,0.707716,0.707716,0.703662,0.703662,0.539720,0.574766,0.766355,0.766355,0.676638,,0.496439,0.519231,0.000000,0.000000,0.000000,0.000000,0.816101,
meta-llama__Llama-3.1-70B-Instruct,0.612628,0.624573,0.863215,0.833754,0.662020,0.853515,0.749790,0.749790,0.747414,0.747414,0.480530,0.500779,0.809969,0.809969,0.897436,,0.634615,0.519231,0.000000,0.000000,0.000000,0.000000,0.826361,
meta-llama__Llama-3.1-8B,0.523891,0.547782,0.822391,0.825758,0.607349,0.793169,0.602600,0.602600,0.609309,0.609309,0.395639,0.404206,0.535826,0.535826,0.529915,,0.482194,0.519231,0.000000,0.000000,0.000000,0.000000,0.744278,
meta-llama__Llama-3.1-8B-Instruct,0.527304,0.541809,0.803030,0.772306,0.570205,0.797052,0.562902,0.562902,0.577439,0.577439,0.359813,0.373832,0.571651,0.571651,0.540598,,0.481481,0.519231,0.000000,0.000000,0.000000,0.000000,0.741121,
meta-llama__Llama-3.2-1B,0.315700,0.371160,0.660354,0.618266,0.481577,0.641307,0.512161,0.512161,0.497484,0.497484,0.373832,0.383956,0.261682,0.261682,0.494302,,0.497863,0.519231,0.000000,0.000000,0.000000,0.000000,0.606946,
meta-llama__Llama-3.2-1B-Instruct,0.346416,0.377133,0.688552,0.638468,0.456782,0.615913,0.506430,0.506430,0.523763,0.523763,0.355919,0.372274,0.335670,0.335670,0.503561,,0.480769,0.519231,0.000000,0.000000,0.000000,0.000000,0.613260,
meta-llama__Llama-3.2-3B,0.427474,0.462457,0.749158,0.718434,0.557260,0.740988,0.567095,0.567095,0.542494,0.542494,0.434579,0.451713,0.520249,0.520249,0.542023,,0.473647,0.519231,0.000000,0.000000,0.000000,0.000000,0.696922,
meta-llama__Llama-3.2-3B-Instruct,0.433447,0.462457,0.753367,0.711279,0.533360,0.715694,0.594632,0.594632,0.576880,0.576880,0.383956,0.411215,0.617601,0.617601,0.514957,,0.478632,0.519231,0.000000,0.000000,0.000000,0.000000,0.688240,
mistralai__Mistral-7B-Instruct-v0.3,0.583618,0.601536,0.834596,0.817761,0.656941,0.832802,0.583310,0.583310,0.591417,0.591417,0.631620,0.658100,0.729751,0.729751,0.770655,,0.559829,0.519231,0.000000,0.000000,0.000000,0.000000,0.748224,
mistralai__Mistral-7B-v0.3,0.506826,0.544369,0.800926,0.801347,0.611830,0.806413,0.523763,0.523763,0.562762,0.562762,0.491433,0.514798,0.468847,0.468847,0.580484,,0.481481,0.519231,0.000000,0.000000,0.000000,0.000000,0.739542,
mistralai__Mistral-Nemo-Base-2407,0.567406,0.595563,0.833333,0.835438,0.632344,0.830313,0.545848,0.545848,0.653481,0.653481,0.473520,0.496885,0.512461,0.512461,0.665242,,0.469373,0.519231,0.000000,0.000000,0.000000,0.000000,0.768745,
mistralai__Mistral-Nemo-Instruct-2407,0.561433,0.595563,0.822391,0.805976,0.635431,0.823939,0.621750,0.621750,0.630556,0.630556,0.525701,0.556075,0.651090,0.651090,0.760684,,0.475783,0.519231,0.000000,0.000000,0.000000,0.000000,0.768745,
mistralai__Mistral-Small-24B-Base-2501,0.593857,0.627986,0.853535,0.845539,0.638020,0.834396,0.667878,0.667878,0.719458,0.719458,0.573988,0.612928,0.715732,0.715732,0.876781,,0.537749,0.519231,0.000000,0.000000,0.000000,0.000000,0.795580,
mistralai__Mistral-Small-24B-Instruct-2501,0.639932,0.662969,0.874579,0.873737,0.634137,0.834196,0.698910,0.698910,0.723092,0.723092,0.569315,0.603583,0.818536,0.818536,0.927350,,0.581197,0.519231,0.000000,0.000000,0.000000,0.000000,0.797948,
naver-hyperclovax__HyperCLOVAX-SEED-Text-Instruct-0.5B,0.354949,0.372867,0.699916,0.654040,0.410078,0.521808,0.598546,0.598546,0.608471,0.608471,0.351246,0.380062,0.527259,0.527259,0.534900,,0.481481,0.519231,0.000000,0.000000,0.000000,0.000000,0.546172,
naver-hyperclovax__HyperCLOVAX-SEED-Text-Instruct-1.5B,0.387372,0.438567,0.693182,0.660774,0.464947,0.608743,0.618535,0.618535,0.634610,0.634610,0.361371,0.384735,0.466511,0.466511,0.693020,,0.509972,0.519231,0.000000,0.000000,0.000000,0.000000,0.573796,
naver-hyperclovax__HyperCLOVAX-SEED-Think-14B,0.526451,0.546928,0.793771,0.748737,0.601872,0.793667,0.756919,0.756919,0.747554,0.747554,0.455607,0.475078,0.781153,0.781153,0.869658,,0.665954,0.519231,0.000000,0.000000,0.000000,0.000000,0.711918,
skt__A.X-4.0,0.651024,0.670648,0.876684,0.862795,0.674567,0.860187,0.876852,0.876852,0.864831,0.864831,0.738318,0.763240,0.957944,0.957944,0.947293,,0.775641,0.519231,0.653813,0.711225,0.845118,0.857744,0.801894,
skt__A.X-4.0-Light,0.541809,0.558874,0.805556,0.744949,0.596793,0.771460,0.762231,0.762231,0.767543,0.767543,0.690810,0.712617,0.849688,0.849688,0.930199,,0.749288,0.519231,0.000000,0.000000,0.000000,0.000000,0.711129,
skt__ko-gpt-trinity-1.2B-v0.5,0.170648,0.204778,0.314394,0.308502,0.275443,0.290679,0.508527,0.508527,0.493850,0.493850,0.320872,0.333333,0.264019,0.264019,0.486467,,0.489316,0.519231,0.000000,0.000000,0.000000,0.000000,0.509077,
upstage__SOLAR-10.7B-Instruct-v1.0,0.604096,0.622014,0.834596,0.811027,0.687612,0.865664,0.604417,0.604417,0.626642,0.626642,0.612928,0.647975,0.547508,0.547508,0.860399,,0.676638,0.519231,0.000000,0.000000,0.000000,0.000000,0.751381,
upstage__SOLAR-10.7B-v1.0,0.510239,0.554608,0.807660,0.780303,0.639514,0.830811,0.539558,0.539558,0.581772,0.581772,0.404984,0.422118,0.420561,0.420561,0.505698,,0.480769,0.519231,0.000000,0.000000,0.000000,0.000000,0.746646,
