,arc_challenge,arc_challenge,arc_easy,arc_easy,hellaswag,hellaswag,kmmlu_neg,kmmlu_neg,kmmlu_pos,kmmlu_pos,kmmlu_pos_r,kmmlu_pos_r,ko_nubench_api,ko_nubench_api,ko_nubench_cloze,ko_nubench_cloze,ko_nubench_symbol,ko_nubench_symbol,kobest_boolq,kobest_boolq,kobest_boolq_neg,kobest_boolq_neg,thunderllm-snu-ko-arc-challenge,thunderllm-snu-ko-arc-challenge,thunderllm-snu-ko-arc-easy,thunderllm-snu-ko-arc-easy,winogrande,winogrande
Qwen__Qwen3-14B-Base-seed1200-lr3e-05__epoch2,0.561433,0.595563,0.837121,0.825758,0.618701,0.814081,0.760693,0.760693,0.703523,0.703523,0.000000,0.000000,0.000000,0.000000,0.745327,0.771028,0.950935,0.950935,0.733618,,0.515670,0.519231,0.000000,0.000000,0.000000,0.000000,0.741121,
Qwen__Qwen3-14B-seed1200-lr3e-05__epoch2,0.593003,0.609215,0.844276,0.830808,0.609042,0.787592,0.755661,0.755661,0.708135,0.708135,0.000000,0.000000,0.000000,0.000000,0.492991,0.515576,0.942368,0.942368,0.641738,,0.539886,0.519231,0.000000,0.000000,0.000000,0.000000,0.733228,
Qwen__Qwen3-4B-seed1200-lr3e-05__epoch2,0.496587,0.523038,0.797559,0.769360,0.521609,0.684326,0.572267,0.572267,0.645793,0.645793,0.000000,0.000000,0.000000,0.000000,0.461838,0.477414,0.934579,0.934579,0.531339,,0.479345,0.519231,0.000000,0.000000,0.000000,0.000000,0.659826,
Qwen__Qwen3-8B-Base-seed1200-lr3e-05__epoch2,0.539249,0.577645,0.823232,0.810606,0.590321,0.786995,0.736231,0.736231,0.722533,0.722533,0.000000,0.000000,0.000000,0.000000,0.651090,0.681464,0.956386,0.956386,0.623219,,0.485755,0.519231,0.484147,0.546701,0.704966,0.733586,0.723757,
Qwen__Qwen3-8B-seed1200-lr3e-05__epoch2,0.546928,0.560580,0.835859,0.803030,0.570504,0.748755,0.670953,0.670953,0.701426,0.701426,0.000000,0.000000,0.000000,0.000000,0.504673,0.527259,0.927570,0.927570,0.604701,,0.485755,0.519231,0.485004,0.534704,0.702441,0.716751,0.681137,
kakaocorp__kanana-1.5-2.1b-base-seed1200-lr3e-05__epoch2,0.470990,0.510239,0.778199,0.784933,0.499303,0.659729,0.598406,0.598406,0.629438,0.629438,0.000000,0.000000,0.000000,0.000000,0.621495,0.643302,0.926012,0.926012,0.599003,,0.492877,0.519231,0.000000,0.000000,0.000000,0.000000,0.645620,
kakaocorp__kanana-1.5-2.1b-instruct-2505-seed1200-lr3e-05__epoch2,0.476962,0.499147,0.782407,0.747475,0.507469,0.667297,0.655018,0.655018,0.667039,0.667039,0.000000,0.000000,0.000000,0.000000,0.748442,0.771807,0.978193,0.978193,0.677350,,0.527066,0.519231,0.000000,0.000000,0.000000,0.000000,0.625099,
kakaocorp__kanana-1.5-8b-base-seed1200-lr3e-05__epoch2,0.537543,0.565700,0.814815,0.825758,0.586238,0.772854,0.686050,0.686050,0.684652,0.684652,0.000000,0.000000,0.000000,0.000000,0.662773,0.690031,0.974299,0.974299,0.660969,,0.515670,0.519231,0.000000,0.000000,0.000000,0.000000,0.726125,
meta-llama__Llama-3.1-8B-Instruct-seed1200-lr3e-05__epoch2,0.529863,0.540956,0.806818,0.772727,0.573193,0.794662,0.614062,0.614062,0.604976,0.604976,0.000000,0.000000,0.000000,0.000000,0.479751,0.505452,0.971184,0.971184,0.641738,,0.487892,0.519231,0.389889,0.455870,0.610690,0.632997,0.743489,
meta-llama__Llama-3.1-8B-seed1200-lr3e-05__epoch2,0.524744,0.552901,0.819024,0.822811,0.607947,0.793169,0.612245,0.612245,0.614621,0.614621,0.000000,0.000000,0.000000,0.000000,0.449377,0.464953,0.952492,0.952492,0.544160,,0.483618,0.519231,0.383033,0.447301,0.621633,0.632155,0.744278,
meta-llama__Llama-3.2-1B-Instruct-seed1200-lr3e-05__epoch2,0.346416,0.375427,0.687290,0.631734,0.455985,0.612627,0.502237,0.502237,0.518731,0.518731,0.000000,0.000000,0.000000,0.000000,0.362928,0.373053,0.804517,0.804517,0.504274,,0.480057,0.519231,0.237361,0.280206,0.361953,0.373316,0.614049,
meta-llama__Llama-3.2-1B-seed1200-lr3e-05__epoch2,0.316553,0.367747,0.666246,0.619108,0.481279,0.642103,0.502237,0.502237,0.502376,0.502376,0.000000,0.000000,0.000000,0.000000,0.371495,0.386293,0.284268,0.284268,0.492165,,0.486467,0.519231,0.250214,0.278492,0.393939,0.398569,0.607735,
meta-llama__Llama-3.2-3B-Instruct-seed1200-lr3e-05__epoch2,0.436007,0.461604,0.756734,0.712963,0.532762,0.715893,0.592675,0.592675,0.578278,0.578278,0.000000,0.000000,0.000000,0.000000,0.464953,0.493769,0.937695,0.937695,0.516382,,0.482194,0.519231,0.305913,0.356470,0.484007,0.484428,0.685872,
meta-llama__Llama-3.2-3B-seed1200-lr3e-05__epoch2,0.430887,0.463311,0.744949,0.720118,0.558255,0.741785,0.573246,0.573246,0.551999,0.551999,0.000000,0.000000,0.000000,0.000000,0.436916,0.454050,0.681464,0.681464,0.553419,,0.476496,0.519231,0.307626,0.363325,0.514310,0.513468,0.692186,
mistralai__Mistral-7B-Instruct-v0.3-seed1200-lr3e-05__epoch2,0.583618,0.598123,0.831650,0.811448,0.657040,0.833698,0.586805,0.586805,0.591138,0.591138,0.000000,0.000000,0.000000,0.000000,0.670561,0.692368,0.996885,0.996885,0.796296,,0.620370,0.519231,0.345330,0.405313,0.493687,0.506313,0.748224,
mistralai__Mistral-7B-v0.3-seed1200-lr3e-05__epoch2,0.511092,0.549488,0.808081,0.805135,0.611731,0.807110,0.540677,0.540677,0.555633,0.555633,0.000000,0.000000,0.000000,0.000000,0.559190,0.579439,0.993769,0.993769,0.732906,,0.534188,0.519231,0.323907,0.378749,0.484848,0.495370,0.744278,
mistralai__Mistral-Nemo-Base-2407-seed1200-lr3e-05__epoch2,0.569113,0.599829,0.831650,0.835859,0.631946,0.830114,0.571988,0.571988,0.654459,0.654459,0.000000,0.000000,0.000000,0.000000,0.566978,0.600467,0.973520,0.973520,0.711538,,0.463675,0.519231,0.000000,0.000000,0.000000,0.000000,0.764799,
mistralai__Mistral-Nemo-Instruct-2407-seed1200-lr3e-05__epoch2,0.561433,0.596416,0.824495,0.806397,0.634734,0.824736,0.641879,0.641879,0.654459,0.654459,0.000000,0.000000,0.000000,0.000000,0.633956,0.672118,0.985981,0.985981,0.750712,,0.477920,0.519231,0.000000,0.000000,0.000000,0.000000,0.766377,
naver-hyperclovax__HyperCLOVAX-SEED-Text-Instruct-0.5B-seed1200-lr3e-05__epoch2,0.359215,0.380546,0.699495,0.651515,0.409879,0.522804,0.625664,0.625664,0.612105,0.612105,0.000000,0.000000,0.000000,0.000000,0.364486,0.383178,0.894860,0.894860,0.546296,,0.477920,0.519231,0.000000,0.000000,0.000000,0.000000,0.551697,
naver-hyperclovax__HyperCLOVAX-SEED-Text-Instruct-1.5B-seed1200-lr3e-05__epoch2,0.388225,0.441126,0.696970,0.660774,0.466043,0.606752,0.628460,0.628460,0.636148,0.636148,0.000000,0.000000,0.000000,0.000000,0.382399,0.404984,0.869938,0.869938,0.702991,,0.509972,0.519231,0.353042,0.413025,0.607323,0.620791,0.569061,
naver-hyperclovax__HyperCLOVAX-SEED-Think-14B-seed1200-lr3e-05__epoch2,0.526451,0.541809,0.792508,0.752104,0.602569,0.793866,0.756640,0.756640,0.746016,0.746016,0.000000,0.000000,0.000000,0.000000,0.531931,0.545171,0.979751,0.979751,0.870370,,0.666667,0.519231,0.000000,0.000000,0.000000,0.000000,0.715075,
skt__A.X-4.0-Light-seed1200-lr3e-05__epoch2,0.543515,0.562287,0.807239,0.750421,0.597789,0.772257,0.766285,0.766285,0.765027,0.765027,0.000000,0.000000,0.000000,0.000000,0.714953,0.736760,0.953271,0.953271,0.930912,,0.743590,0.519231,0.000000,0.000000,0.000000,0.000000,0.715864,
upstage__SOLAR-10.7B-Instruct-v1.0-seed1200-lr3e-05__epoch2,0.601536,0.616894,0.837963,0.804714,0.688807,0.867656,0.611406,0.611406,0.614621,0.614621,0.000000,0.000000,0.000000,0.000000,0.744548,0.774922,0.988318,0.988318,0.806980,,0.631054,0.514245,0.382177,0.436161,0.564394,0.583754,0.762431,
upstage__SOLAR-10.7B-v1.0-seed1200-lr3e-05__epoch2,0.518771,0.558874,0.810606,0.789983,0.641008,0.832105,0.531591,0.531591,0.551859,0.551859,0.000000,0.000000,0.000000,0.000000,0.505452,0.524922,0.994548,0.994548,0.537037,,0.486467,0.520655,0.307626,0.362468,0.000000,0.000000,0.754538,
