,arc_challenge,arc_challenge,arc_easy,arc_easy,hellaswag,hellaswag,kmmlu_neg,kmmlu_neg,kmmlu_pos,kmmlu_pos,kmmlu_pos_r,kmmlu_pos_r,ko_nubench_cloze,ko_nubench_cloze,ko_nubench_symbol,ko_nubench_symbol,kobest_boolq,kobest_boolq,kobest_boolq_neg,kobest_boolq_neg,thunderllm-snu-ko-arc-challenge,thunderllm-snu-ko-arc-challenge,thunderllm-snu-ko-arc-easy,thunderllm-snu-ko-arc-easy,winogrande,winogrande
LGAI-EXAONE__EXAONE-4.0-1.2B-seed1200-lr3e-05__epoch2,0.213311,0.248294,0.346801,0.332071,0.293368,0.321052,0.514537,0.514537,0.503075,0.503075,0.000000,0.000000,0.327103,0.339564,0.849688,0.849688,0.513533,,0.480769,0.519231,0.233076,0.281919,0.400253,0.407828,0.492502,
LGAI-EXAONE__EXAONE-Deep-2.4B-seed1200-lr3e-05__epoch0,0.358362,0.373720,0.609428,0.558081,0.426011,0.554870,0.479312,0.479312,0.535644,0.535644,0.000000,0.000000,0.379283,0.433801,0.458723,0.458723,0.507835,,0.480769,0.519231,0.316195,0.371037,0.492424,0.494949,0.548540,
LGAI-EXAONE__EXAONE-Deep-2.4B-seed1200-lr3e-05__epoch1,0.362628,0.372867,0.619529,0.565236,0.424318,0.556961,0.486441,0.486441,0.535644,0.535644,0.000000,0.000000,0.390187,0.443925,0.570872,0.570872,0.506410,,0.480057,0.519231,0.311911,0.368466,0.492424,0.500421,0.543015,
LGAI-EXAONE__EXAONE-Deep-2.4B-seed1200-lr3e-05__epoch2,0.363481,0.375427,0.619949,0.563131,0.425314,0.556762,0.486441,0.486441,0.536064,0.536064,0.000000,0.000000,0.392523,0.445483,0.602025,0.602025,0.506410,,0.480769,0.519231,0.310197,0.370180,0.494529,0.503788,0.544594,
LGAI-EXAONE__EXAONE-Deep-7.8B-seed1200-lr3e-05__epoch0,0.410410,0.446246,0.679293,0.652357,0.480582,0.635332,0.484904,0.484904,0.559687,0.559687,0.000000,0.000000,0.585670,0.607477,0.748442,0.748442,0.700142,,0.490741,0.519231,0.443016,0.493573,0.659512,0.668771,0.576953,
LGAI-EXAONE__EXAONE-Deep-7.8B-seed1200-lr3e-05__epoch1,0.411263,0.440273,0.680976,0.656566,0.479984,0.635431,0.492592,0.492592,0.561784,0.561784,0.000000,0.000000,0.620717,0.643302,0.922118,0.922118,0.717236,,0.490741,0.519231,0.446444,0.497001,0.659091,0.666667,0.574586,
LGAI-EXAONE__EXAONE-Deep-7.8B-seed1200-lr3e-05__epoch2,0.406997,0.447952,0.677189,0.651515,0.480681,0.635630,0.487699,0.487699,0.564160,0.564160,0.000000,0.000000,0.625389,0.644081,0.932243,0.932243,0.719373,,0.498575,0.519231,0.444730,0.497001,0.660774,0.667929,0.573007,
Qwen__Qwen3-0.6B-Base-seed1200-lr3e-05__epoch0,0.337884,0.382253,0.661195,0.603535,0.411472,0.537343,0.564859,0.564859,0.542773,0.542773,0.000000,0.000000,0.418224,0.442368,0.632399,0.632399,0.524217,,0.492165,0.519231,0.268209,0.325621,0.404040,0.414562,0.577743,
Qwen__Qwen3-0.6B-Base-seed1200-lr3e-05__epoch1,0.343003,0.383959,0.661195,0.611111,0.412169,0.537941,0.572267,0.572267,0.543193,0.543193,0.000000,0.000000,0.431464,0.460280,0.819315,0.819315,0.527778,,0.492877,0.519231,0.272494,0.329049,0.405724,0.412879,0.580900,
Qwen__Qwen3-0.6B-Base-seed1200-lr3e-05__epoch2,0.341297,0.384812,0.662037,0.610269,0.412966,0.536746,0.573805,0.573805,0.543612,0.543612,0.000000,0.000000,0.425234,0.457944,0.854361,0.854361,0.525641,,0.492165,0.519231,0.000000,0.000000,0.000000,0.000000,0.580900,
Qwen__Qwen3-1.7B-Base-seed1200-lr3e-05__epoch0,0.423208,0.453072,0.739899,0.697811,0.493428,0.665306,0.542354,0.542354,0.617417,0.617417,0.000000,0.000000,0.632399,0.674455,0.732087,0.732087,0.633903,,0.485755,0.519231,0.000000,0.000000,0.000000,0.000000,0.641673,
Qwen__Qwen3-1.7B-Base-seed1200-lr3e-05__epoch1,0.424915,0.454778,0.744949,0.699495,0.492830,0.663912,0.543332,0.543332,0.618535,0.618535,0.000000,0.000000,0.644081,0.686916,0.855140,0.855140,0.648860,,0.481481,0.519231,0.357326,0.407883,0.536616,0.561448,0.649566,
Qwen__Qwen3-1.7B-Base-seed1200-lr3e-05__epoch2,0.428328,0.454778,0.744108,0.701599,0.492930,0.665804,0.542354,0.542354,0.617836,0.617836,0.000000,0.000000,0.647196,0.690031,0.874611,0.874611,0.647436,,0.486467,0.519231,0.357326,0.410454,0.538300,0.562710,0.647987,
Qwen__Qwen3-1.7B-seed1200-lr3e-05__epoch0,0.395051,0.425768,0.724327,0.699074,0.460964,0.603665,0.577020,0.577020,0.603299,0.603299,0.000000,0.000000,0.523364,0.551402,0.823209,0.823209,0.509259,,0.482906,0.519231,0.325621,0.397601,0.519781,0.527778,0.615627,
Qwen__Qwen3-1.7B-seed1200-lr3e-05__epoch1,0.395904,0.430034,0.722222,0.695707,0.461561,0.603366,0.572267,0.572267,0.599804,0.599804,0.000000,0.000000,0.535047,0.553738,0.882399,0.882399,0.507835,,0.478632,0.519231,0.330763,0.398458,0.520202,0.527778,0.617206,
Qwen__Qwen3-1.7B-seed1200-lr3e-05__epoch2,0.394198,0.430034,0.720960,0.693182,0.460366,0.602171,0.571289,0.571289,0.599385,0.599385,0.000000,0.000000,0.536604,0.556854,0.893302,0.893302,0.509972,,0.480769,0.519231,0.000000,0.000000,0.000000,0.000000,0.616417,
Qwen__Qwen3-4B-seed1200-lr3e-05__epoch0,0.504266,0.534130,0.803451,0.777778,0.521908,0.684127,0.585966,0.585966,0.653341,0.653341,0.000000,0.000000,0.456386,0.472741,0.866044,0.866044,0.532051,,0.481481,0.519231,0.417309,0.477292,0.627946,0.640152,0.659826,
Qwen__Qwen3-8B-Base-seed1200-lr3e-05__epoch0,0.537543,0.573379,0.821128,0.803872,0.588329,0.785003,0.734834,0.734834,0.723651,0.723651,0.000000,0.000000,0.604361,0.634735,0.901869,0.901869,0.587607,,0.481481,0.519231,0.485861,0.543273,0.000000,0.000000,0.725335,
Qwen__Qwen3-8B-Base-seed1200-lr3e-05__epoch1,0.535836,0.575939,0.822811,0.810606,0.589524,0.786397,0.736231,0.736231,0.721554,0.721554,0.000000,0.000000,0.643302,0.680685,0.948598,0.948598,0.618234,,0.486467,0.519231,0.480720,0.546701,0.702020,0.731902,0.724546,
Qwen__Qwen3-8B-Base-seed1200-lr3e-05__epoch2,0.539249,0.577645,0.823232,0.810606,0.590321,0.786995,0.736231,0.736231,0.722533,0.722533,0.000000,0.000000,0.651090,0.681464,0.956386,0.956386,0.623219,,0.485755,0.519231,0.484147,0.546701,0.704966,0.733586,0.723757,
Qwen__Qwen3-8B-seed1200-lr3e-05__epoch0,0.552048,0.560580,0.834596,0.808502,0.570205,0.749353,0.680458,0.680458,0.706039,0.706039,0.000000,0.000000,0.475078,0.485981,0.833333,0.833333,0.601852,,0.489316,0.519231,0.482434,0.540703,0.698232,0.712963,0.679558,
Qwen__Qwen3-8B-seed1200-lr3e-05__epoch1,0.550341,0.563140,0.835017,0.805135,0.571500,0.748855,0.673330,0.673330,0.700727,0.700727,0.000000,0.000000,0.501558,0.522586,0.920561,0.920561,0.599003,,0.487179,0.519231,0.485861,0.536418,0.700758,0.719276,0.679558,
Qwen__Qwen3-8B-seed1200-lr3e-05__epoch2,0.546928,0.560580,0.835859,0.803030,0.570504,0.748755,0.670953,0.670953,0.701426,0.701426,0.000000,0.000000,0.504673,0.527259,0.927570,0.927570,0.604701,,0.485755,0.519231,0.485004,0.534704,0.702441,0.716751,0.681137,
kakaocorp__kanana-1.5-2.1b-base-seed1200-lr3e-05__epoch0,0.470990,0.514505,0.778199,0.785774,0.497510,0.658833,0.580375,0.580375,0.629298,0.629298,0.000000,0.000000,0.577882,0.601246,0.757009,0.757009,0.580484,,0.487179,0.519231,0.438732,0.491859,0.696128,0.715067,0.648777,
kakaocorp__kanana-1.5-8b-base-seed1200-lr3e-05__epoch0,0.530717,0.563140,0.813552,0.821970,0.585342,0.773750,0.682835,0.682835,0.680319,0.680319,0.000000,0.000000,0.542056,0.564642,0.828660,0.828660,0.649573,,0.516382,0.519231,0.000000,0.000000,0.000000,0.000000,0.729282,
kakaocorp__kanana-1.5-8b-base-seed1200-lr3e-05__epoch1,0.537543,0.566553,0.817340,0.826178,0.586039,0.774149,0.686329,0.686329,0.682555,0.682555,0.000000,0.000000,0.654984,0.676791,0.971184,0.971184,0.656695,,0.519943,0.519231,0.000000,0.000000,0.000000,0.000000,0.722968,
kakaocorp__kanana-1.5-8b-base-seed1200-lr3e-05__epoch2,0.537543,0.565700,0.814815,0.825758,0.586238,0.772854,0.686050,0.686050,0.684652,0.684652,0.000000,0.000000,0.662773,0.690031,0.974299,0.974299,0.660969,,0.515670,0.519231,0.000000,0.000000,0.000000,0.000000,0.726125,
meta-llama__Llama-3.1-8B-Instruct-seed1200-lr3e-05__epoch0,0.531570,0.542662,0.803451,0.772306,0.572197,0.796355,0.591278,0.591278,0.593095,0.593095,0.000000,0.000000,0.419003,0.435358,0.890187,0.890187,0.603989,,0.480769,0.519231,0.389032,0.448158,0.610690,0.632576,0.742699,
meta-llama__Llama-3.1-8B-Instruct-seed1200-lr3e-05__epoch1,0.529863,0.546075,0.805135,0.774832,0.572794,0.795758,0.612664,0.612664,0.606793,0.606793,0.000000,0.000000,0.474299,0.496885,0.964174,0.964174,0.648860,,0.482194,0.519231,0.387318,0.449871,0.610690,0.632155,0.742699,
meta-llama__Llama-3.1-8B-Instruct-seed1200-lr3e-05__epoch2,0.529863,0.540956,0.806818,0.772727,0.573193,0.794662,0.614062,0.614062,0.604976,0.604976,0.000000,0.000000,0.479751,0.505452,0.971184,0.971184,0.641738,,0.487892,0.519231,0.389889,0.455870,0.610690,0.632997,0.743489,
meta-llama__Llama-3.1-8B-seed1200-lr3e-05__epoch0,0.526451,0.555461,0.822391,0.826599,0.607648,0.793268,0.610707,0.610707,0.611266,0.611266,0.000000,0.000000,0.406542,0.420561,0.807632,0.807632,0.534188,,0.481481,0.519231,0.387318,0.445587,0.620370,0.631734,0.741910,
meta-llama__Llama-3.1-8B-seed1200-lr3e-05__epoch1,0.526451,0.553754,0.819444,0.822811,0.607648,0.792770,0.612804,0.612804,0.615180,0.615180,0.000000,0.000000,0.440810,0.460280,0.944704,0.944704,0.542023,,0.483618,0.519231,0.383033,0.448158,0.623737,0.635943,0.741121,
meta-llama__Llama-3.1-8B-seed1200-lr3e-05__epoch2,0.524744,0.552901,0.819024,0.822811,0.607947,0.793169,0.612245,0.612245,0.614621,0.614621,0.000000,0.000000,0.449377,0.464953,0.952492,0.952492,0.544160,,0.483618,0.519231,0.383033,0.447301,0.621633,0.632155,0.744278,
meta-llama__Llama-3.2-1B-Instruct-seed1200-lr3e-05__epoch2,0.346416,0.375427,0.687290,0.631734,0.455985,0.612627,0.502237,0.502237,0.518731,0.518731,0.000000,0.000000,0.362928,0.373053,0.804517,0.804517,0.504274,,0.480057,0.519231,0.237361,0.280206,0.361953,0.373316,0.614049,
meta-llama__Llama-3.2-1B-seed1200-lr3e-05__epoch0,0.313140,0.368601,0.667929,0.619949,0.481577,0.642103,0.509505,0.509505,0.494409,0.494409,0.000000,0.000000,0.369938,0.387850,0.268692,0.268692,0.494302,,0.485755,0.519231,0.000000,0.000000,0.000000,0.000000,0.610103,
meta-llama__Llama-3.2-1B-seed1200-lr3e-05__epoch1,0.316553,0.362628,0.664141,0.620370,0.481876,0.642203,0.500140,0.500140,0.499581,0.499581,0.000000,0.000000,0.372274,0.383178,0.282710,0.282710,0.495014,,0.486467,0.519231,0.250214,0.279349,0.394360,0.398990,0.604578,
meta-llama__Llama-3.2-1B-seed1200-lr3e-05__epoch2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250214,0.278492,0.393939,0.398569,0.000000,0.000000
meta-llama__Llama-3.2-3B-Instruct-seed1200-lr3e-05__epoch0,0.438567,0.463311,0.756734,0.714646,0.532962,0.716491,0.594632,0.594632,0.577439,0.577439,0.000000,0.000000,0.413551,0.438474,0.792835,0.792835,0.519231,,0.482906,0.519231,0.306769,0.353042,0.485269,0.486532,0.681137,
meta-llama__Llama-3.2-3B-Instruct-seed1200-lr3e-05__epoch1,0.438567,0.459044,0.755051,0.712542,0.533260,0.714698,0.591837,0.591837,0.579536,0.579536,0.000000,0.000000,0.461059,0.486760,0.927570,0.927570,0.518519,,0.480769,0.519231,0.304199,0.354756,0.485690,0.486532,0.687451,
meta-llama__Llama-3.2-3B-Instruct-seed1200-lr3e-05__epoch2,0.436007,0.461604,0.756734,0.712963,0.532762,0.715893,0.592675,0.592675,0.578278,0.578278,0.000000,0.000000,0.464953,0.493769,0.937695,0.937695,0.516382,,0.482194,0.519231,0.305913,0.356470,0.484007,0.484428,0.685872,
meta-llama__Llama-3.2-3B-seed1200-lr3e-05__epoch0,0.428328,0.465017,0.750000,0.723064,0.557957,0.740888,0.567515,0.567515,0.549203,0.549203,0.000000,0.000000,0.433801,0.450935,0.534268,0.534268,0.544160,,0.476496,0.519231,0.305056,0.359040,0.510943,0.515993,0.692976,
meta-llama__Llama-3.2-3B-seed1200-lr3e-05__epoch1,0.428328,0.459044,0.744529,0.718855,0.557957,0.740888,0.572966,0.572966,0.551020,0.551020,0.000000,0.000000,0.433801,0.453271,0.662773,0.662773,0.552707,,0.476496,0.519231,0.310197,0.360754,0.511785,0.514310,0.694554,
meta-llama__Llama-3.2-3B-seed1200-lr3e-05__epoch2,0.430887,0.463311,0.744949,0.720118,0.558255,0.741785,0.573246,0.573246,0.551999,0.551999,0.000000,0.000000,0.436916,0.454050,0.681464,0.681464,0.553419,,0.476496,0.519231,0.307626,0.363325,0.514310,0.513468,0.692186,
mistralai__Mistral-7B-Instruct-v0.3-seed1200-lr3e-05__epoch0,0.581911,0.598976,0.829966,0.813973,0.657837,0.833898,0.581074,0.581074,0.586245,0.586245,0.000000,0.000000,0.665109,0.692368,0.979751,0.979751,0.789174,,0.609687,0.519231,0.340189,0.401028,0.499579,0.509680,0.747435,
mistralai__Mistral-7B-Instruct-v0.3-seed1200-lr3e-05__epoch1,0.582765,0.598976,0.830387,0.811869,0.656642,0.832802,0.586106,0.586106,0.592536,0.592536,0.000000,0.000000,0.670561,0.692368,0.996885,0.996885,0.792735,,0.617521,0.519231,0.341045,0.401028,0.494108,0.505892,0.749013,
mistralai__Mistral-7B-Instruct-v0.3-seed1200-lr3e-05__epoch2,0.583618,0.598123,0.831650,0.811448,0.657040,0.833698,0.586805,0.586805,0.591138,0.591138,0.000000,0.000000,0.670561,0.692368,0.996885,0.996885,0.796296,,0.620370,0.519231,0.345330,0.405313,0.493687,0.506313,0.748224,
mistralai__Mistral-7B-v0.3-seed1200-lr3e-05__epoch0,0.511945,0.549488,0.805135,0.804293,0.612527,0.806612,0.539279,0.539279,0.556192,0.556192,0.000000,0.000000,0.530374,0.553738,0.966511,0.966511,0.651709,,0.483618,0.519231,0.313625,0.374464,0.484848,0.500421,0.743489,
mistralai__Mistral-7B-v0.3-seed1200-lr3e-05__epoch1,0.509386,0.547782,0.805556,0.804714,0.611830,0.806612,0.538580,0.538580,0.554515,0.554515,0.000000,0.000000,0.559190,0.577882,0.990654,0.990654,0.727920,,0.529202,0.519231,0.320480,0.373608,0.485690,0.496212,0.745067,
mistralai__Mistral-7B-v0.3-seed1200-lr3e-05__epoch2,0.511092,0.549488,0.808081,0.805135,0.611731,0.807110,0.540677,0.540677,0.555633,0.555633,0.000000,0.000000,0.559190,0.579439,0.993769,0.993769,0.732906,,0.534188,0.519231,0.323907,0.378749,0.484848,0.495370,0.744278,
naver-hyperclovax__HyperCLOVAX-SEED-Text-Instruct-0.5B-seed1200-lr3e-05__epoch0,0.352389,0.370307,0.697811,0.652357,0.409779,0.521310,0.610568,0.610568,0.611686,0.611686,0.000000,0.000000,0.364486,0.387072,0.678349,0.678349,0.542735,,0.478632,0.519231,0.332476,0.395030,0.586700,0.600589,0.546961,
naver-hyperclovax__HyperCLOVAX-SEED-Text-Instruct-0.5B-seed1200-lr3e-05__epoch1,0.357509,0.375427,0.699074,0.651936,0.410476,0.521410,0.627481,0.627481,0.613363,0.613363,0.000000,0.000000,0.365265,0.387072,0.880841,0.880841,0.549145,,0.475783,0.519231,0.334190,0.397601,0.585017,0.595960,0.548540,
naver-hyperclovax__HyperCLOVAX-SEED-Text-Instruct-0.5B-seed1200-lr3e-05__epoch2,0.359215,0.380546,0.699495,0.651515,0.409879,0.522804,0.625664,0.625664,0.612105,0.612105,0.000000,0.000000,0.364486,0.383178,0.894860,0.894860,0.546296,,0.477920,0.519231,0.000000,0.000000,0.000000,0.000000,0.551697,
naver-hyperclovax__HyperCLOVAX-SEED-Text-Instruct-1.5B-seed1200-lr3e-05__epoch0,0.390785,0.439420,0.695707,0.661616,0.465545,0.607947,0.623847,0.623847,0.636008,0.636008,0.000000,0.000000,0.367601,0.394860,0.708723,0.708723,0.694444,,0.504274,0.519231,0.000000,0.000000,0.000000,0.000000,0.575375,
naver-hyperclovax__HyperCLOVAX-SEED-Text-Instruct-1.5B-seed1200-lr3e-05__epoch1,0.387372,0.441980,0.694865,0.659933,0.465545,0.607747,0.627341,0.627341,0.637406,0.637406,0.000000,0.000000,0.380062,0.405763,0.852025,0.852025,0.705128,,0.504274,0.519231,0.355613,0.415596,0.610690,0.617424,0.571429,
naver-hyperclovax__HyperCLOVAX-SEED-Text-Instruct-1.5B-seed1200-lr3e-05__epoch2,0.388225,0.441126,0.696970,0.660774,0.466043,0.606752,0.628460,0.628460,0.636148,0.636148,0.000000,0.000000,0.382399,0.404984,0.869938,0.869938,0.702991,,0.509972,0.519231,0.353042,0.413025,0.607323,0.620791,0.569061,
upstage__SOLAR-10.7B-Instruct-v1.0-seed1200-lr3e-05__epoch0,0.598123,0.616894,0.835017,0.805976,0.688907,0.867855,0.611127,0.611127,0.618535,0.618535,0.000000,0.000000,0.724299,0.760903,0.957165,0.957165,0.810541,,0.630342,0.519943,0.385604,0.446444,0.567340,0.586700,0.761642,
upstage__SOLAR-10.7B-Instruct-v1.0-seed1200-lr3e-05__epoch1,0.602389,0.616041,0.837542,0.804714,0.688707,0.867955,0.610847,0.610847,0.614481,0.614481,0.000000,0.000000,0.741433,0.768692,0.988318,0.988318,0.806980,,0.627493,0.512821,0.383033,0.437875,0.565236,0.583333,0.761642,
upstage__SOLAR-10.7B-Instruct-v1.0-seed1200-lr3e-05__epoch2,0.601536,0.616894,0.837963,0.804714,0.688807,0.867656,0.611406,0.611406,0.614621,0.614621,0.000000,0.000000,0.744548,0.774922,0.988318,0.988318,0.806980,,0.631054,0.514245,0.382177,0.436161,0.564394,0.583754,0.762431,
upstage__SOLAR-10.7B-v1.0-seed1200-lr3e-05__epoch0,0.515358,0.554608,0.807239,0.785774,0.640211,0.831707,0.536483,0.536483,0.560246,0.560246,0.000000,0.000000,0.460280,0.479751,0.954050,0.954050,0.517806,,0.481481,0.522792,0.310197,0.364182,0.000000,0.000000,0.751381,
upstage__SOLAR-10.7B-v1.0-seed1200-lr3e-05__epoch2,0.518771,0.558874,0.810606,0.789983,0.641008,0.832105,0.531591,0.531591,0.551859,0.551859,0.000000,0.000000,0.505452,0.524922,0.994548,0.994548,0.537037,,0.486467,0.520655,0.307626,0.362468,0.000000,0.000000,0.754538,
