,arc_challenge,arc_challenge,arc_easy,arc_easy,hellaswag,hellaswag,kmmlu_neg,kmmlu_neg,kmmlu_pos,kmmlu_pos,ko_nubench_cloze,ko_nubench_cloze,ko_nubench_symbol,ko_nubench_symbol,kobest_boolq,kobest_boolq,kobest_boolq_neg,kobest_boolq_neg,winogrande,winogrande
__mnt__sm__KoNUBench__sft__models__kakaocorp__kanana-1.5-8b-base-seed1200-lr3e-05__epoch2,0.526451,0.551195,0.810185,0.822811,0.587034,0.775244,0.619514,0.619514,0.619793,0.619793,0.933022,0.940810,0.602804,0.602804,0.000000,0.000000,0.517094,0.519231,0.726125,
__mnt__sm__KoNUBench__sft__models__meta-llama__Llama-3.2-1B-Instruct-seed1200-lr3e-05__epoch0,0.348123,0.376280,0.693603,0.639310,0.456483,0.617009,0.511043,0.511043,0.521946,0.521946,0.478193,0.501558,0.347352,0.347352,0.000000,0.000000,0.480769,0.519231,0.610892,
__mnt__sm__KoNUBench__sft__models__meta-llama__Llama-3.2-1B-Instruct-seed1200-lr3e-05__epoch1,0.348123,0.377986,0.693182,0.640152,0.455686,0.616112,0.509925,0.509925,0.521806,0.521806,0.651869,0.678349,0.368380,0.368380,0.000000,0.000000,0.480057,0.519231,0.617206,
__mnt__sm__KoNUBench__sft__models__meta-llama__Llama-3.2-1B-Instruct-seed1200-lr3e-05__epoch2,0.347270,0.380546,0.692761,0.637205,0.456782,0.616013,0.509925,0.509925,0.521946,0.521946,0.662773,0.686916,0.368380,0.368380,0.000000,0.000000,0.480057,0.519231,0.619574,
__mnt__sm__KoNUBench__sft__models__meta-llama__Llama-3.2-1B-seed1200-lr3e-05__epoch0,0.313993,0.365188,0.661195,0.619949,0.481478,0.641705,0.508247,0.508247,0.498043,0.498043,0.492991,0.515576,0.261682,0.261682,0.000000,0.000000,0.497151,0.519231,0.610892,
__mnt__sm__KoNUBench__sft__models__meta-llama__Llama-3.2-1B-seed1200-lr3e-05__epoch1,0.314846,0.370307,0.664983,0.616162,0.482274,0.642800,0.508946,0.508946,0.498742,0.498742,0.675234,0.701713,0.261682,0.261682,0.000000,0.000000,0.489316,0.519231,0.610892,
__mnt__sm__KoNUBench__sft__models__meta-llama__Llama-3.2-1B-seed1200-lr3e-05__epoch2,0.318259,0.373720,0.662037,0.614899,0.481279,0.642999,0.510064,0.510064,0.500280,0.500280,0.691589,0.717290,0.260903,0.260903,0.000000,0.000000,0.487892,0.519231,0.606946,
__mnt__sm__KoNUBench__sft__models__meta-llama__Llama-3.2-3B-Instruct-seed1200-lr3e-05__epoch0,0.441126,0.466724,0.756313,0.713805,0.534157,0.717686,0.593095,0.593095,0.582611,0.582611,0.561526,0.582555,0.630062,0.630062,0.000000,0.000000,0.486467,0.519231,0.691397,
__mnt__sm__KoNUBench__sft__models__meta-llama__Llama-3.2-3B-Instruct-seed1200-lr3e-05__epoch1,0.437713,0.459898,0.756734,0.713805,0.534654,0.717586,0.594772,0.594772,0.579396,0.579396,0.795950,0.814642,0.665109,0.665109,0.000000,0.000000,0.483618,0.519231,0.683504,
__mnt__sm__KoNUBench__sft__models__meta-llama__Llama-3.2-3B-Instruct-seed1200-lr3e-05__epoch2,0.441980,0.464164,0.755892,0.714646,0.534654,0.717984,0.594353,0.594353,0.580654,0.580654,0.799844,0.819315,0.669782,0.669782,0.000000,0.000000,0.482906,0.519231,0.692186,
__mnt__sm__KoNUBench__sft__models__meta-llama__Llama-3.2-3B-seed1200-lr3e-05__epoch0,0.424915,0.463311,0.747896,0.719697,0.558355,0.740988,0.570171,0.570171,0.540816,0.540816,0.694704,0.725078,0.554517,0.554517,0.000000,0.000000,0.479345,0.519231,0.697711,
__mnt__sm__KoNUBench__sft__models__meta-llama__Llama-3.2-3B-seed1200-lr3e-05__epoch1,0.426621,0.464164,0.745370,0.722643,0.559052,0.742581,0.572407,0.572407,0.540677,0.540677,0.834112,0.852804,0.580218,0.580218,0.000000,0.000000,0.479345,0.519231,0.700868,
__mnt__sm__KoNUBench__sft__models__meta-llama__Llama-3.2-3B-seed1200-lr3e-05__epoch2,0.426621,0.465017,0.747475,0.721801,0.558056,0.741187,0.570031,0.570031,0.540816,0.540816,0.840343,0.857477,0.584891,0.584891,0.000000,0.000000,0.480057,0.519231,0.696133,
__mnt__sm__KoNUBench__sft__models__mistralai__Mistral-7B-Instruct-v0.3-seed1200-lr3e-05__epoch0,0.575939,0.600683,0.832071,0.813973,0.657439,0.832802,0.584568,0.584568,0.588063,0.588063,0.897975,0.909657,0.883178,0.883178,0.000000,0.000000,0.641026,0.519231,0.752960,
__mnt__sm__KoNUBench__sft__models__mistralai__Mistral-7B-Instruct-v0.3-seed1200-lr3e-05__epoch1,0.574232,0.601536,0.832492,0.813131,0.655348,0.832205,0.584009,0.584009,0.580514,0.580514,0.965732,0.969626,0.911215,0.911215,0.000000,0.000000,0.654558,0.519231,0.756906,
__mnt__sm__KoNUBench__sft__models__mistralai__Mistral-7B-Instruct-v0.3-seed1200-lr3e-05__epoch2,0.575939,0.600683,0.832492,0.811869,0.655746,0.831806,0.582471,0.582471,0.579396,0.579396,0.968847,0.970405,0.914330,0.914330,0.000000,0.000000,0.655271,0.519231,0.760852,
__mnt__sm__KoNUBench__sft__models__mistralai__Mistral-7B-v0.3-seed1200-lr3e-05__epoch0,0.505119,0.543515,0.803030,0.802189,0.612229,0.807011,0.523763,0.523763,0.557870,0.557870,0.922118,0.933801,0.741433,0.741433,0.000000,0.000000,0.504986,0.519231,0.740331,
__mnt__sm__KoNUBench__sft__models__mistralai__Mistral-7B-v0.3-seed1200-lr3e-05__epoch1,0.508532,0.546075,0.803030,0.800084,0.610934,0.806712,0.522225,0.522225,0.553397,0.553397,0.966511,0.968847,0.797508,0.797508,0.000000,0.000000,0.519943,0.519231,0.736385,
__mnt__sm__KoNUBench__sft__models__mistralai__Mistral-7B-v0.3-seed1200-lr3e-05__epoch2,0.508532,0.542662,0.803451,0.799663,0.611332,0.806612,0.525440,0.525440,0.554795,0.554795,0.969626,0.974299,0.801402,0.801402,0.000000,0.000000,0.522792,0.519231,0.737964,
__mnt__sm__KoNUBench__sft__models__naver-hyperclovax__HyperCLOVAX-SEED-Text-Instruct-0.5B-seed1200-lr3e-05__epoch2,0.354096,0.374573,0.695707,0.651515,0.408982,0.520613,0.610008,0.610008,0.611546,0.611546,0.677570,0.692368,0.602804,0.602804,0.000000,0.000000,0.482906,0.519231,0.549329,
__mnt__sm__KoNUBench__sft__models__naver-hyperclovax__HyperCLOVAX-SEED-Text-Instruct-1.5B-seed1200-lr3e-05__epoch0,0.387372,0.441126,0.694865,0.661616,0.466441,0.609142,0.621051,0.621051,0.636008,0.636008,0.549844,0.576324,0.486760,0.486760,0.000000,0.000000,0.509972,0.519231,0.568272,
__mnt__sm__KoNUBench__sft__models__naver-hyperclovax__HyperCLOVAX-SEED-Text-Instruct-1.5B-seed1200-lr3e-05__epoch1,0.384812,0.443686,0.696970,0.662037,0.466441,0.608843,0.619094,0.619094,0.634051,0.634051,0.665109,0.695483,0.500000,0.500000,0.000000,0.000000,0.507835,0.519231,0.572218,
__mnt__sm__KoNUBench__sft__models__naver-hyperclovax__HyperCLOVAX-SEED-Text-Instruct-1.5B-seed1200-lr3e-05__epoch2,0.388225,0.442833,0.697811,0.661616,0.466441,0.609440,0.620352,0.620352,0.634051,0.634051,0.681464,0.704829,0.496106,0.496106,0.000000,0.000000,0.508547,0.519231,0.570639,
__mnt__sm__KoNUBench__sft__models__skt__A.X-4.0-Light-seed1200-lr3e-05__epoch0,0.547782,0.561433,0.809343,0.750000,0.596594,0.771460,0.762510,0.762510,0.766145,0.766145,0.802181,0.824766,0.873832,0.873832,0.000000,0.000000,0.750000,0.519231,0.716654,
__mnt__sm__KoNUBench__sft__models__skt__A.X-4.0-Light-seed1200-lr3e-05__epoch1,0.546075,0.560580,0.811448,0.752525,0.597391,0.772655,0.763489,0.763489,0.766145,0.766145,0.839564,0.848131,0.886293,0.886293,0.000000,0.000000,0.748575,0.519231,0.720600,
__mnt__sm__KoNUBench__sft__models__skt__A.X-4.0-Light-seed1200-lr3e-05__epoch2,0.548635,0.562287,0.813131,0.752946,0.596296,0.771759,0.763070,0.763070,0.766285,0.766285,0.845016,0.851246,0.889408,0.889408,0.000000,0.000000,0.749288,0.519231,0.713496,
