,arc_challenge,arc_challenge,arc_easy,arc_easy,hellaswag,hellaswag,kmmlu_neg,kmmlu_neg,kmmlu_pos,kmmlu_pos,kmmlu_pos_r,kmmlu_pos_r,ko_nubench_api,ko_nubench_api,ko_nubench_cloze,ko_nubench_cloze,ko_nubench_symbol,ko_nubench_symbol,kobest_boolq,kobest_boolq,kobest_boolq_neg,kobest_boolq_neg,thunderllm-snu-ko-arc-challenge,thunderllm-snu-ko-arc-challenge,thunderllm-snu-ko-arc-easy,thunderllm-snu-ko-arc-easy,winogrande,winogrande
Qwen__Qwen3-14B-Base-seed1200-lr3e-05__epoch2,0.558020,0.591297,0.832912,0.819865,0.619100,0.813782,0.761951,0.761951,0.693738,0.693738,0.000000,0.000000,0.000000,0.000000,0.887072,0.898754,0.930685,0.930685,0.708689,,0.514245,0.519231,0.000000,0.000000,0.000000,0.000000,0.737964,
Qwen__Qwen3-14B-seed1200-lr3e-05__epoch2,0.593857,0.609215,0.843434,0.831650,0.608345,0.788787,0.754683,0.754683,0.700727,0.700727,0.000000,0.000000,0.000000,0.000000,0.845016,0.862150,0.929128,0.929128,0.720085,,0.566239,0.519231,0.000000,0.000000,0.000000,0.000000,0.732439,
Qwen__Qwen3-4B-Base-seed1200-lr3e-05__epoch2,0.488908,0.523891,0.795455,0.771886,0.545509,0.736108,0.704641,0.704641,0.688566,0.688566,0.000000,0.000000,0.000000,0.000000,0.880841,0.892523,0.872274,0.872274,0.688034,,0.507835,0.519231,0.000000,0.000000,0.000000,0.000000,0.708761,
Qwen__Qwen3-4B-seed1200-lr3e-05__epoch2,0.511945,0.540102,0.807239,0.788721,0.521510,0.685521,0.612105,0.612105,0.660889,0.660889,0.000000,0.000000,0.000000,0.000000,0.774922,0.793614,0.869159,0.869159,0.527778,,0.479345,0.519231,0.000000,0.000000,0.000000,0.000000,0.664562,
Qwen__Qwen3-8B-Base-seed1200-lr3e-05__epoch2,0.530717,0.572526,0.821970,0.804293,0.590121,0.787293,0.740006,0.740006,0.726027,0.726027,0.000000,0.000000,0.000000,0.000000,0.885514,0.898754,0.911994,0.911994,0.584758,,0.477920,0.519231,0.485004,0.548415,0.704125,0.734848,0.723757,
Qwen__Qwen3-8B-seed1200-lr3e-05__epoch2,0.551195,0.559727,0.834596,0.809343,0.570106,0.750747,0.695275,0.695275,0.708275,0.708275,0.000000,0.000000,0.000000,0.000000,0.856698,0.873053,0.870717,0.870717,0.626781,,0.488604,0.519231,0.479006,0.536418,0.699495,0.717593,0.679558,
kakaocorp__kanana-1.5-2.1b-base-seed1200-lr3e-05__epoch2,0.459898,0.500000,0.765572,0.769360,0.497909,0.660526,0.567654,0.567654,0.626642,0.626642,0.000000,0.000000,0.000000,0.000000,0.917445,0.926791,0.622274,0.622274,0.630342,,0.497863,0.519231,0.000000,0.000000,0.000000,0.000000,0.655880,
kakaocorp__kanana-1.5-2.1b-instruct-2505-seed1200-lr3e-05__epoch2,0.484642,0.510239,0.784933,0.762205,0.508962,0.670982,0.650266,0.650266,0.668717,0.668717,0.000000,0.000000,0.000000,0.000000,0.910436,0.921340,0.675234,0.675234,0.712251,,0.545584,0.519231,0.455870,0.519280,0.704125,0.711700,0.627466,
kakaocorp__kanana-1.5-8b-base-seed1200-lr3e-05__epoch2,0.526451,0.551195,0.810185,0.822811,0.587034,0.775244,0.619514,0.619514,0.619793,0.619793,0.000000,0.000000,0.000000,0.000000,0.933022,0.940810,0.602804,0.602804,0.692308,,0.517094,0.519231,0.508141,0.589546,0.744949,0.770623,0.726125,
meta-llama__Llama-3.1-8B-Instruct-seed1200-lr3e-05__epoch2,0.533276,0.547782,0.810185,0.779882,0.573193,0.796057,0.583590,0.583590,0.593654,0.593654,0.000000,0.000000,0.000000,0.000000,0.886293,0.901090,0.736760,0.736760,0.653134,,0.478632,0.519231,0.393316,0.455870,0.609007,0.627525,0.741910,
meta-llama__Llama-3.1-8B-seed1200-lr3e-05__epoch2,0.517918,0.554608,0.821970,0.823653,0.608942,0.793268,0.607632,0.607632,0.610707,0.610707,0.000000,0.000000,0.000000,0.000000,0.902648,0.918224,0.704050,0.704050,0.592593,,0.487892,0.519231,0.387318,0.441302,0.623737,0.631734,0.733228,
meta-llama__Llama-3.2-1B-Instruct-seed1200-lr3e-05__epoch2,0.347270,0.380546,0.692761,0.637205,0.456782,0.616013,0.509925,0.509925,0.521946,0.521946,0.000000,0.000000,0.000000,0.000000,0.662773,0.686916,0.368380,0.368380,0.504274,,0.480057,0.519231,0.000000,0.000000,0.000000,0.000000,0.619574,
meta-llama__Llama-3.2-1B-seed1200-lr3e-05__epoch2,0.318259,0.373720,0.662037,0.614899,0.481279,0.642999,0.510064,0.510064,0.500280,0.500280,0.000000,0.000000,0.000000,0.000000,0.691589,0.717290,0.260903,0.260903,0.511396,,0.487892,0.519231,0.000000,0.000000,0.000000,0.000000,0.606946,
meta-llama__Llama-3.2-3B-Instruct-seed1200-lr3e-05__epoch2,0.441980,0.464164,0.755892,0.714646,0.534654,0.717984,0.594353,0.594353,0.580654,0.580654,0.000000,0.000000,0.000000,0.000000,0.799844,0.819315,0.669782,0.669782,0.539886,,0.482906,0.519231,0.305913,0.358183,0.487795,0.486111,0.692186,
meta-llama__Llama-3.2-3B-seed1200-lr3e-05__epoch2,0.426621,0.465017,0.747475,0.721801,0.558056,0.741187,0.570031,0.570031,0.540816,0.540816,0.000000,0.000000,0.000000,0.000000,0.840343,0.857477,0.584891,0.584891,0.586182,,0.480057,0.519231,0.309340,0.348757,0.518098,0.519360,0.696133,
mistralai__Mistral-7B-Instruct-v0.3-seed1200-lr3e-05__epoch2,0.575939,0.600683,0.832492,0.811869,0.655746,0.831806,0.582471,0.582471,0.579396,0.579396,0.000000,0.000000,0.000000,0.000000,0.968847,0.970405,0.914330,0.914330,0.794872,,0.655271,0.519231,0.343616,0.395887,0.495370,0.504209,0.760852,
mistralai__Mistral-7B-v0.3-seed1200-lr3e-05__epoch2,0.508532,0.542662,0.803451,0.799663,0.611332,0.806612,0.525440,0.525440,0.554795,0.554795,0.000000,0.000000,0.000000,0.000000,0.969626,0.974299,0.801402,0.801402,0.654558,,0.522792,0.519231,0.309340,0.367609,0.467593,0.483165,0.737964,
mistralai__Mistral-Nemo-Base-2407-seed1200-lr3e-05__epoch2,0.566553,0.601536,0.835859,0.837963,0.633738,0.829217,0.566676,0.566676,0.659491,0.659491,0.000000,0.000000,0.000000,0.000000,0.947040,0.954050,0.697040,0.697040,0.712963,,0.464387,0.519231,0.000000,0.000000,0.000000,0.000000,0.767956,
mistralai__Mistral-Nemo-Instruct-2407-seed1200-lr3e-05__epoch2,0.563993,0.593857,0.824916,0.808923,0.635033,0.824139,0.629857,0.629857,0.637266,0.637266,0.000000,0.000000,0.000000,0.000000,0.929907,0.938474,0.811526,0.811526,0.793447,,0.466524,0.519231,0.000000,0.000000,0.000000,0.000000,0.768745,
naver-hyperclovax__HyperCLOVAX-SEED-Text-Instruct-0.5B-seed1200-lr3e-05__epoch2,0.354096,0.374573,0.695707,0.651515,0.408982,0.520613,0.610008,0.610008,0.611546,0.611546,0.000000,0.000000,0.000000,0.000000,0.677570,0.692368,0.602804,0.602804,0.562678,,0.482906,0.519231,0.000000,0.000000,0.000000,0.000000,0.549329,
naver-hyperclovax__HyperCLOVAX-SEED-Text-Instruct-1.5B-seed1200-lr3e-05__epoch2,0.388225,0.442833,0.697811,0.661616,0.466441,0.609440,0.620352,0.620352,0.634051,0.634051,0.000000,0.000000,0.000000,0.000000,0.681464,0.704829,0.496106,0.496106,0.705840,,0.508547,0.519231,0.000000,0.000000,0.000000,0.000000,0.570639,
naver-hyperclovax__HyperCLOVAX-SEED-Think-14B-seed1200-lr3e-05__epoch2,0.527304,0.546928,0.795034,0.753788,0.601673,0.793866,0.758736,0.758736,0.750349,0.750349,0.000000,0.000000,0.000000,0.000000,0.843458,0.864486,0.863707,0.863707,0.876068,,0.673789,0.519231,0.000000,0.000000,0.000000,0.000000,0.711918,
skt__A.X-4.0-Light-seed1200-lr3e-05__epoch2,0.548635,0.562287,0.813131,0.752946,0.596296,0.771759,0.763070,0.763070,0.766285,0.766285,0.000000,0.000000,0.000000,0.000000,0.845016,0.851246,0.889408,0.889408,0.929487,,0.749288,0.519231,0.551842,0.594687,0.784091,0.789562,0.713496,
upstage__SOLAR-10.7B-Instruct-v1.0-seed1200-lr3e-05__epoch2,0.614334,0.616894,0.840067,0.814394,0.687015,0.864768,0.619933,0.619933,0.624825,0.624825,0.000000,0.000000,0.000000,0.000000,0.965732,0.971963,0.744548,0.744548,0.881054,,0.750000,0.529915,0.389889,0.444730,0.579545,0.589646,0.769534,
upstage__SOLAR-10.7B-v1.0-seed1200-lr3e-05__epoch2,0.511092,0.541809,0.802609,0.775673,0.642402,0.833201,0.549343,0.549343,0.584428,0.584428,0.000000,0.000000,0.000000,0.000000,0.971963,0.975857,0.792835,0.792835,0.582621,,0.505698,0.567664,0.329049,0.383890,0.496212,0.505051,0.748224,
