,arc_challenge,arc_challenge,arc_easy,arc_easy,hellaswag,hellaswag,kmmlu_neg,kmmlu_neg,kmmlu_pos,kmmlu_pos,ko_nubench_cloze,ko_nubench_cloze,ko_nubench_symbol,ko_nubench_symbol,kobest_boolq,kobest_boolq,kobest_boolq_neg,kobest_boolq_neg,winogrande,winogrande
meta-llama__Llama-3.1-8B-Instruct-seed1200-lr3e-05__epoch2,0.533276,0.547782,0.810185,0.779882,0.573193,0.796057,0.583590,0.583590,0.593654,0.593654,0.886293,0.901090,0.736760,0.736760,0.000000,0.000000,0.478632,0.519231,0.741910,
meta-llama__Llama-3.1-8B-seed1200-lr3e-05__epoch0,0.521331,0.550341,0.822811,0.826599,0.608245,0.792870,0.604138,0.604138,0.613643,0.613643,0.808411,0.826324,0.665888,0.665888,0.000000,0.000000,0.483618,0.519231,0.739542,
meta-llama__Llama-3.1-8B-seed1200-lr3e-05__epoch1,0.519625,0.549488,0.821970,0.826178,0.608644,0.792770,0.608471,0.608471,0.611406,0.611406,0.898754,0.905763,0.695483,0.695483,0.000000,0.000000,0.482906,0.519231,0.739542,
meta-llama__Llama-3.1-8B-seed1200-lr3e-05__epoch2,0.517918,0.554608,0.821970,0.823653,0.608942,0.793268,0.607632,0.607632,0.610707,0.610707,0.902648,0.918224,0.704050,0.704050,0.000000,0.000000,0.487892,0.519231,0.733228,
meta-llama__Llama-3.2-1B-Instruct-seed1200-lr3e-05__epoch0,0.348123,0.376280,0.693603,0.639310,0.456483,0.617009,0.511043,0.511043,0.521946,0.521946,0.478193,0.501558,0.347352,0.347352,0.000000,0.000000,0.480769,0.519231,0.610892,
meta-llama__Llama-3.2-1B-Instruct-seed1200-lr3e-05__epoch1,0.348123,0.377986,0.693182,0.640152,0.455686,0.616112,0.509925,0.509925,0.521806,0.521806,0.651869,0.678349,0.368380,0.368380,0.000000,0.000000,0.480057,0.519231,0.617206,
meta-llama__Llama-3.2-1B-Instruct-seed1200-lr3e-05__epoch2,0.347270,0.380546,0.692761,0.637205,0.456782,0.616013,0.509925,0.509925,0.521946,0.521946,0.662773,0.686916,0.368380,0.368380,0.000000,0.000000,0.480057,0.519231,0.619574,
meta-llama__Llama-3.2-1B-seed1200-lr3e-05__epoch0,0.313993,0.365188,0.661195,0.619949,0.481478,0.641705,0.508247,0.508247,0.498043,0.498043,0.492991,0.515576,0.261682,0.261682,0.000000,0.000000,0.497151,0.519231,0.610892,
meta-llama__Llama-3.2-1B-seed1200-lr3e-05__epoch1,0.314846,0.370307,0.664983,0.616162,0.482274,0.642800,0.508946,0.508946,0.498742,0.498742,0.675234,0.701713,0.261682,0.261682,0.000000,0.000000,0.489316,0.519231,0.610892,
meta-llama__Llama-3.2-1B-seed1200-lr3e-05__epoch2,0.318259,0.373720,0.662037,0.614899,0.481279,0.642999,0.510064,0.510064,0.500280,0.500280,0.691589,0.717290,0.260903,0.260903,0.000000,0.000000,0.487892,0.519231,0.606946,
meta-llama__Llama-3.2-3B-Instruct-seed1200-lr3e-05__epoch0,0.441126,0.466724,0.756313,0.713805,0.534157,0.717686,0.593095,0.593095,0.582611,0.582611,0.561526,0.582555,0.630062,0.630062,0.000000,0.000000,0.486467,0.519231,0.691397,
meta-llama__Llama-3.2-3B-Instruct-seed1200-lr3e-05__epoch1,0.437713,0.459898,0.756734,0.713805,0.534654,0.717586,0.594772,0.594772,0.579396,0.579396,0.795950,0.814642,0.665109,0.665109,0.000000,0.000000,0.483618,0.519231,0.683504,
meta-llama__Llama-3.2-3B-Instruct-seed1200-lr3e-05__epoch2,0.441980,0.464164,0.755892,0.714646,0.534654,0.717984,0.594353,0.594353,0.580654,0.580654,0.799844,0.819315,0.669782,0.669782,0.000000,0.000000,0.482906,0.519231,0.692186,
meta-llama__Llama-3.2-3B-seed1200-lr3e-05__epoch0,0.424915,0.463311,0.747896,0.719697,0.558355,0.740988,0.570171,0.570171,0.540816,0.540816,0.694704,0.725078,0.554517,0.554517,0.000000,0.000000,0.479345,0.519231,0.697711,
meta-llama__Llama-3.2-3B-seed1200-lr3e-05__epoch1,0.426621,0.464164,0.745370,0.722643,0.559052,0.742581,0.572407,0.572407,0.540677,0.540677,0.834112,0.852804,0.580218,0.580218,0.000000,0.000000,0.479345,0.519231,0.700868,
meta-llama__Llama-3.2-3B-seed1200-lr3e-05__epoch2,0.426621,0.465017,0.747475,0.721801,0.558056,0.741187,0.570031,0.570031,0.540816,0.540816,0.840343,0.857477,0.584891,0.584891,0.000000,0.000000,0.480057,0.519231,0.696133,
mistralai__Mistral-7B-Instruct-v0.3-seed1200-lr3e-05__epoch0,0.575939,0.600683,0.832071,0.813973,0.657439,0.832802,0.584568,0.584568,0.588063,0.588063,0.897975,0.909657,0.883178,0.883178,0.000000,0.000000,0.641026,0.519231,0.752960,
mistralai__Mistral-7B-Instruct-v0.3-seed1200-lr3e-05__epoch1,0.574232,0.601536,0.832492,0.813131,0.655348,0.832205,0.584009,0.584009,0.580514,0.580514,0.965732,0.969626,0.911215,0.911215,0.000000,0.000000,0.654558,0.519231,0.756906,
mistralai__Mistral-7B-Instruct-v0.3-seed1200-lr3e-05__epoch2,0.575939,0.600683,0.832492,0.811869,0.655746,0.831806,0.582471,0.582471,0.579396,0.579396,0.968847,0.970405,0.914330,0.914330,0.000000,0.000000,0.655271,0.519231,0.760852,
mistralai__Mistral-7B-v0.3-seed1200-lr3e-05__epoch0,0.505119,0.543515,0.803030,0.802189,0.612229,0.807011,0.523763,0.523763,0.557870,0.557870,0.922118,0.933801,0.741433,0.741433,0.000000,0.000000,0.504986,0.519231,0.740331,
mistralai__Mistral-7B-v0.3-seed1200-lr3e-05__epoch1,0.508532,0.546075,0.803030,0.800084,0.610934,0.806712,0.522225,0.522225,0.553397,0.553397,0.966511,0.968847,0.797508,0.797508,0.000000,0.000000,0.519943,0.519231,0.736385,
mistralai__Mistral-7B-v0.3-seed1200-lr3e-05__epoch2,0.508532,0.542662,0.803451,0.799663,0.611332,0.806612,0.525440,0.525440,0.554795,0.554795,0.969626,0.974299,0.801402,0.801402,0.000000,0.000000,0.522792,0.519231,0.737964,
naver-hyperclovax__HyperCLOVAX-SEED-Text-Instruct-0.5B-seed1200-lr3e-05__epoch0,0.353242,0.374573,0.694865,0.648148,0.410177,0.522605,0.606234,0.606234,0.612385,0.612385,0.509346,0.530374,0.576324,0.576324,0.000000,0.000000,0.477920,0.519231,0.546961,
naver-hyperclovax__HyperCLOVAX-SEED-Text-Instruct-0.5B-seed1200-lr3e-05__epoch1,0.355802,0.373720,0.695707,0.650253,0.408883,0.521709,0.609869,0.609869,0.613223,0.613223,0.661994,0.673676,0.602804,0.602804,0.000000,0.000000,0.480057,0.519231,0.550118,
naver-hyperclovax__HyperCLOVAX-SEED-Text-Instruct-0.5B-seed1200-lr3e-05__epoch2,0.354096,0.374573,0.695707,0.651515,0.408982,0.520613,0.610008,0.610008,0.611546,0.611546,0.677570,0.692368,0.602804,0.602804,0.000000,0.000000,0.482906,0.519231,0.549329,
naver-hyperclovax__HyperCLOVAX-SEED-Text-Instruct-1.5B-seed1200-lr3e-05__epoch0,0.387372,0.441126,0.694865,0.661616,0.466441,0.609142,0.621051,0.621051,0.636008,0.636008,0.549844,0.576324,0.486760,0.486760,0.000000,0.000000,0.509972,0.519231,0.568272,
naver-hyperclovax__HyperCLOVAX-SEED-Text-Instruct-1.5B-seed1200-lr3e-05__epoch1,0.384812,0.443686,0.696970,0.662037,0.466441,0.608843,0.619094,0.619094,0.634051,0.634051,0.665109,0.695483,0.500000,0.500000,0.000000,0.000000,0.507835,0.519231,0.572218,
naver-hyperclovax__HyperCLOVAX-SEED-Text-Instruct-1.5B-seed1200-lr3e-05__epoch2,0.388225,0.442833,0.697811,0.661616,0.466441,0.609440,0.620352,0.620352,0.634051,0.634051,0.681464,0.704829,0.496106,0.496106,0.000000,0.000000,0.508547,0.519231,0.570639,
skt__A.X-4.0-Light-seed1200-lr3e-05__epoch0,0.547782,0.561433,0.809343,0.750000,0.596594,0.771460,0.762510,0.762510,0.766145,0.766145,0.802181,0.824766,0.873832,0.873832,0.000000,0.000000,0.750000,0.519231,0.716654,
skt__A.X-4.0-Light-seed1200-lr3e-05__epoch1,0.546075,0.560580,0.811448,0.752525,0.597391,0.772655,0.763489,0.763489,0.766145,0.766145,0.839564,0.848131,0.886293,0.886293,0.000000,0.000000,0.748575,0.519231,0.720600,
skt__A.X-4.0-Light-seed1200-lr3e-05__epoch2,0.548635,0.562287,0.813131,0.752946,0.596296,0.771759,0.763070,0.763070,0.766285,0.766285,0.845016,0.851246,0.889408,0.889408,0.000000,0.000000,0.749288,0.519231,0.713496,
upstage__SOLAR-10.7B-Instruct-v1.0-seed1200-lr3e-05__epoch0,0.604096,0.621160,0.835438,0.812710,0.688409,0.866461,0.612944,0.612944,0.624825,0.624825,0.905763,0.917445,0.672897,0.672897,0.000000,0.000000,0.735755,0.545584,0.763220,
upstage__SOLAR-10.7B-Instruct-v1.0-seed1200-lr3e-05__epoch1,0.613481,0.615188,0.840067,0.813973,0.686815,0.864768,0.619374,0.619374,0.625524,0.625524,0.960280,0.964174,0.738318,0.738318,0.000000,0.000000,0.748575,0.529915,0.769534,
upstage__SOLAR-10.7B-Instruct-v1.0-seed1200-lr3e-05__epoch2,0.614334,0.616894,0.840067,0.814394,0.687015,0.864768,0.619933,0.619933,0.624825,0.624825,0.965732,0.971963,0.744548,0.744548,0.000000,0.000000,0.750000,0.529915,0.769534,
upstage__SOLAR-10.7B-v1.0-seed1200-lr3e-05__epoch0,0.505973,0.538396,0.803872,0.772306,0.642203,0.833300,0.544870,0.544870,0.580235,0.580235,0.899533,0.919003,0.724299,0.724299,0.000000,0.000000,0.494302,0.557692,0.749013,
upstage__SOLAR-10.7B-v1.0-seed1200-lr3e-05__epoch1,0.507679,0.540956,0.802609,0.774832,0.642302,0.833001,0.548225,0.548225,0.585826,0.585826,0.964953,0.971963,0.790498,0.790498,0.000000,0.000000,0.507835,0.570513,0.747435,
upstage__SOLAR-10.7B-v1.0-seed1200-lr3e-05__epoch2,0.511092,0.541809,0.802609,0.775673,0.642402,0.833201,0.549343,0.549343,0.584428,0.584428,0.971963,0.975857,0.792835,0.792835,0.000000,0.000000,0.505698,0.567664,0.748224,
